"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000223476" 0 0 3 0 3 0
"ENSG00000223478" 53 76 74 92 76 80
"ENSG00000223479" 0 2 2 0 2 0
"ENSG00000223482" 85 103 90 113 94 78
"ENSG00000223485" 5 4 6 8 1 6
"ENSG00000223488" 0 0 1 0 1 0
"ENSG00000223496" 624 800 998 866 775 752
"ENSG00000223500" 1 0 0 0 1 0
"ENSG00000223501" 716 883 1061 939 702 738
"ENSG00000223502" 1 0 3 0 0 0
"ENSG00000223503" 0 0 0 2 0 0
"ENSG00000223504" 0 0 0 2 2 2
"ENSG00000223505" 4 0 5 1 2 6
"ENSG00000223508" 24 25 31 28 31 19
"ENSG00000223509" 37 27 45 46 40 23
"ENSG00000223510" 2 1 8 6 11 5
"ENSG00000223511" 15 11 23 16 13 11
"ENSG00000223518" 3 1 5 3 5 0
"ENSG00000223519" 15 7 13 14 13 4
"ENSG00000223522" 8 3 4 7 1 7
"ENSG00000223523" 27 35 37 34 27 31
"ENSG00000223525" 0 0 0 1 2 1
"ENSG00000223528" 0 2 1 3 2 2
"ENSG00000223529" 17 19 18 21 15 21
"ENSG00000223538" 0 1 1 1 0 0
"ENSG00000223546" 84 99 101 96 86 105
"ENSG00000223547" 268 303 323 393 289 294
"ENSG00000223548" 2 7 3 4 3 4
"ENSG00000223549" 1 3 1 1 1 1
"ENSG00000223551" 3 2 2 4 2 4
"ENSG00000223559" 2 1 3 5 3 2
"ENSG00000223561" 0 1 0 0 1 0
"ENSG00000223564" 21 23 25 37 32 20
"ENSG00000223566" 0 1 0 1 2 0
"ENSG00000223571" 1 1 1 1 1 2
"ENSG00000223572" 1 3 3 4 2 1
"ENSG00000223573" 16 17 22 24 28 16
"ENSG00000223576" 0 0 3 1 1 2
"ENSG00000223583" 4 1 3 5 1 6
"ENSG00000223584" 1 0 1 0 0 0
"ENSG00000223592" 2 0 1 1 0 0
"ENSG00000223598" 1 0 0 2 0 0
"ENSG00000223599" 7 3 4 12 8 5
"ENSG00000223601" 0 0 0 0 3 1
"ENSG00000223602" 1 1 0 1 1 1
"ENSG00000223608" 2 2 0 4 2 1
"ENSG00000223611" 4 1 0 6 3 0
"ENSG00000223612" 0 0 0 2 0 0
"ENSG00000223614" 0 0 1 0 0 1
"ENSG00000223620" 2 1 1 4 1 3
"ENSG00000223624" 0 1 0 0 1 0
"ENSG00000223634" 0 2 5 5 3 5
"ENSG00000223637" 50 44 41 55 47 48
"ENSG00000223638" 0 2 0 0 0 0
"ENSG00000223640" 1 0 0 0 0 1
"ENSG00000223642" 3 3 2 2 2 0
"ENSG00000223643" 0 0 0 3 0 0
"ENSG00000223650" 0 1 1 0 0 0
"ENSG00000223653" 1 0 3 0 0 0
"ENSG00000223657" 0 1 0 1 0 1
"ENSG00000223660" 2 0 1 1 1 0
"ENSG00000223663" 0 1 0 1 3 0
"ENSG00000223668" 25 37 33 48 39 30
"ENSG00000223676" 2 0 0 0 0 0
"ENSG00000223683" 2 0 0 0 0 2
"ENSG00000223685" 0 0 1 2 1 1
"ENSG00000223692" 0 3 2 0 2 1
"ENSG00000223694" 0 0 1 0 0 1
"ENSG00000223695" 1 1 0 0 0 0
"ENSG00000223697" 7 8 16 11 10 10
"ENSG00000223701" 0 1 1 0 1 0
"ENSG00000223704" 0 0 1 0 1 0
"ENSG00000223705" 316 392 484 465 356 274
"ENSG00000223711" 0 2 0 2 3 0
"ENSG00000223714" 0 0 0 2 3 0
"ENSG00000223718" 2 6 11 5 3 4
"ENSG00000223719" 1 1 0 1 2 1
"ENSG00000223722" 6 15 13 9 4 8
"ENSG00000223723" 1 0 1 0 2 0
"ENSG00000223724" 1 0 0 1 2 0
"ENSG00000223725" 0 3 2 2 0 1
"ENSG00000223730" 0 0 0 0 1 1
"ENSG00000223732" 0 1 1 0 0 0
"ENSG00000223734" 0 0 2 1 0 0
"ENSG00000223735" 1 2 1 2 3 0
"ENSG00000223738" 0 4 5 3 3 1
"ENSG00000223739" 1 1 0 1 1 0
"ENSG00000223741" 0 0 2 0 1 1
"ENSG00000223745" 185 232 261 298 199 152
"ENSG00000223749" 9 14 15 14 17 7
"ENSG00000223756" 595 624 748 891 599 621
"ENSG00000223760" 0 2 1 0 2 1
"ENSG00000223764" 1 1 1 1 3 2
"ENSG00000223765" 3 7 3 0 2 3
"ENSG00000223768" 166 164 178 250 173 159
"ENSG00000223770" 85 85 89 103 103 87
"ENSG00000223773" 34 36 38 31 37 36
"ENSG00000223774" 0 3 0 2 1 0
"ENSG00000223776" 0 0 0 1 0 1
"ENSG00000223777" 2 0 0 1 0 0
"ENSG00000223779" 1 0 0 0 1 0
"ENSG00000223784" 2 0 1 3 1 3
"ENSG00000223787" 1 2 3 0 2 1
"ENSG00000223791" 5 3 1 4 5 2
"ENSG00000223797" 46 44 57 64 46 35
"ENSG00000223799" 23 25 24 38 24 23
"ENSG00000223802" 118 144 151 152 128 124
"ENSG00000223803" 1 0 0 1 3 1
"ENSG00000223804" 15 28 33 28 21 29
"ENSG00000223811" 1 1 1 0 2 0
"ENSG00000223812" 540 613 710 709 548 548
"ENSG00000223813" 1 0 0 1 2 0
"ENSG00000223819" 2 0 0 0 0 0
"ENSG00000223820" 14 11 15 9 12 8
"ENSG00000223822" 57 74 78 69 58 62
"ENSG00000223825" 35 46 94 41 36 29
"ENSG00000223826" 0 1 1 2 1 0
"ENSG00000223829" 0 1 1 0 1 0
"ENSG00000223831" 0 0 0 1 1 0
"ENSG00000223834" 1 1 1 0 5 1
"ENSG00000223838" 1 0 0 1 0 0
"ENSG00000223839" 16 9 17 20 15 12
"ENSG00000223841" 0 1 1 0 0 0
"ENSG00000223842" 6 11 14 9 1 10
"ENSG00000223843" 1 0 1 0 0 0
"ENSG00000223849" 0 2 1 2 0 0
"ENSG00000223850" 0 1 1 0 0 0
"ENSG00000223855" 1 0 1 0 0 1
"ENSG00000223861" 1 1 2 2 1 1
"ENSG00000223864" 12 6 9 8 12 6
"ENSG00000223865" 3 9 8 2 5 5
"ENSG00000223873" 1 0 1 0 1 1
"ENSG00000223875" 21 30 21 40 36 22
"ENSG00000223876" 1 0 1 2 0 1
"ENSG00000223878" 3 9 7 5 6 4
"ENSG00000223884" 3 8 1 9 5 2
"ENSG00000223886" 5 2 4 5 8 2
"ENSG00000223891" 135 137 149 182 132 137
"ENSG00000223896" 2 0 0 0 0 0
"ENSG00000223899" 1 1 1 2 1 0
"ENSG00000223901" 5 2 4 3 3 3
"ENSG00000223908" 0 0 0 0 1 1
"ENSG00000223911" 1 1 0 0 0 0
"ENSG00000223912" 4 5 3 3 6 1
"ENSG00000223914" 1 0 2 1 1 0
"ENSG00000223915" 0 0 0 2 0 0
"ENSG00000223916" 7 7 2 7 7 10
"ENSG00000223917" 0 0 0 2 0 0
"ENSG00000223922" 6 2 5 7 6 3
"ENSG00000223930" 0 0 0 0 1 1
"ENSG00000223935" 0 0 0 1 1 0
"ENSG00000223940" 0 1 0 0 2 1
"ENSG00000223945" 6 4 3 4 6 0
"ENSG00000223946" 0 0 0 1 0 2
"ENSG00000223947" 21 5 23 25 19 14
"ENSG00000223949" 9 11 9 15 12 14
"ENSG00000223956" 2 1 1 2 2 0
"ENSG00000223958" 0 0 1 1 0 1
"ENSG00000223959" 397 479 530 509 386 351
"ENSG00000223960" 178 212 223 268 212 192
"ENSG00000223962" 2 2 1 0 1 0
"ENSG00000223963" 0 1 2 1 2 1
"ENSG00000223965" 0 0 2 0 1 1
"ENSG00000223969" 2 2 0 0 1 0
"ENSG00000223973" 3 1 2 0 0 4
"ENSG00000223974" 1 2 2 1 0 0
"ENSG00000223975" 0 0 1 0 1 0
"ENSG00000223979" 0 1 2 3 0 5
"ENSG00000223984" 9 2 3 6 2 5
"ENSG00000223989" 1 2 1 2 0 2
"ENSG00000224000" 7 2 2 6 3 4
"ENSG00000224003" 0 0 2 0 1 3
"ENSG00000224004" 2 0 3 3 2 2
"ENSG00000224011" 1 0 0 0 1 1
"ENSG00000224020" 7 10 21 12 10 15
"ENSG00000224023" 0 1 2 1 1 2
"ENSG00000224031" 2 2 1 2 2 1
"ENSG00000224032" 185 242 243 281 236 195
"ENSG00000224034" 3 2 1 4 3 1
"ENSG00000224042" 0 1 0 1 0 0
"ENSG00000224043" 5 4 8 3 5 4
"ENSG00000224045" 5 9 10 4 12 3
"ENSG00000224046" 25 22 34 27 27 18
"ENSG00000224051" 366 509 621 592 485 554
"ENSG00000224055" 1 0 1 1 0 1
"ENSG00000224058" 3 1 2 1 2 2
"ENSG00000224059" 2 2 0 2 0 2
"ENSG00000224061" 1 0 1 0 0 1
"ENSG00000224063" 45 34 50 59 38 43
"ENSG00000224064" 0 0 0 2 0 0
"ENSG00000224066" 2 1 4 3 4 1
"ENSG00000224067" 1 0 1 0 0 2
"ENSG00000224072" 2 2 8 3 0 4
"ENSG00000224074" 0 1 0 0 0 1
"ENSG00000224078" 1311 1256 1401 1623 1273 1163
"ENSG00000224079" 2 1 0 3 1 0
"ENSG00000224080" 30 63 39 44 48 46
"ENSG00000224081" 65 77 97 84 59 70
"ENSG00000224083" 8 7 15 5 7 9
"ENSG00000224086" 41 28 44 48 33 36
"ENSG00000224093" 4 0 4 1 1 1
"ENSG00000224094" 5 2 8 9 6 7
"ENSG00000224097" 2 1 3 3 1 0
"ENSG00000224099" 11 16 27 19 14 11
"ENSG00000224110" 1 0 1 0 1 1
"ENSG00000224114" 1 1 3 1 0 0
"ENSG00000224116" 0 1 1 1 0 2
"ENSG00000224117" 2 0 1 0 0 0
"ENSG00000224121" 2 1 0 0 1 0
"ENSG00000224126" 0 1 2 2 3 1
"ENSG00000224132" 0 0 0 1 1 0
"ENSG00000224137" 1 0 0 0 0 1
"ENSG00000224138" 28 16 16 28 20 7
"ENSG00000224141" 139 132 204 185 129 115
"ENSG00000224152" 13 9 14 7 11 19
"ENSG00000224155" 1 0 1 0 0 0
"ENSG00000224157" 2 2 1 4 1 4
"ENSG00000224161" 5 7 5 10 7 7
"ENSG00000224165" 5 4 3 2 3 4
"ENSG00000224167" 1 0 4 3 3 1
"ENSG00000224172" 1 0 0 0 2 1
"ENSG00000224173" 9 8 6 5 10 8
"ENSG00000224184" 18 13 18 16 13 21
"ENSG00000224185" 33 24 34 41 22 16
"ENSG00000224186" 42 23 32 38 26 33
"ENSG00000224189" 491 516 647 606 471 475
"ENSG00000224194" 2 1 0 1 2 1
"ENSG00000224195" 3 0 5 9 5 3
"ENSG00000224203" 1 0 3 0 0 0
"ENSG00000224204" 1 0 1 1 0 1
"ENSG00000224207" 1 1 2 2 1 0
"ENSG00000224208" 2 7 3 1 2 3
"ENSG00000224209" 7 14 24 15 22 14
"ENSG00000224215" 4 10 6 10 7 7
"ENSG00000224219" 0 0 0 2 0 0
"ENSG00000224220" 1 0 0 1 1 0
"ENSG00000224221" 4 4 6 10 4 4
"ENSG00000224224" 0 0 0 0 1 1
"ENSG00000224227" 7 6 5 2 2 6
"ENSG00000224232" 2 3 3 2 2 3
"ENSG00000224236" 0 1 0 2 2 0
"ENSG00000224238" 3 2 5 2 1 3
"ENSG00000224239" 0 0 1 1 1 1
"ENSG00000224243" 0 1 0 0 2 0
"ENSG00000224245" 5 0 1 4 2 1
"ENSG00000224254" 1 0 0 0 0 1
"ENSG00000224255" 0 2 0 2 0 0
"ENSG00000224259" 1 1 1 0 1 1
"ENSG00000224260" 23 41 35 30 27 24
"ENSG00000224261" 5 1 0 2 0 0
"ENSG00000224263" 0 0 1 0 0 1
"ENSG00000224271" 16 10 18 23 10 14
"ENSG00000224272" 0 2 0 0 1 0
"ENSG00000224273" 2 0 2 2 4 1
"ENSG00000224278" 0 0 1 2 0 2
"ENSG00000224280" 0 1 2 1 1 0
"ENSG00000224281" 33 42 43 55 33 33
"ENSG00000224282" 1 1 1 2 2 2
"ENSG00000224286" 2 2 0 0 0 0
"ENSG00000224287" 9 10 11 11 7 10
"ENSG00000224292" 6 5 4 5 9 10
"ENSG00000224294" 36 37 53 53 35 29
"ENSG00000224296" 0 0 2 0 0 0
"ENSG00000224297" 1 1 0 0 0 0
"ENSG00000224299" 3 0 5 3 2 3
"ENSG00000224308" 4 12 7 3 8 8
"ENSG00000224309" 3 0 2 2 0 2
"ENSG00000224310" 0 2 1 3 1 1
"ENSG00000224312" 1 2 0 2 1 0
"ENSG00000224315" 0 0 0 1 1 0
"ENSG00000224316" 4 5 3 6 2 4
"ENSG00000224318" 24 23 23 49 22 21
"ENSG00000224321" 3 0 1 0 4 2
"ENSG00000224322" 6 2 4 5 4 3
"ENSG00000224323" 2 2 0 1 0 0
"ENSG00000224324" 2 0 1 1 0 2
"ENSG00000224328" 0 1 3 2 0 0
"ENSG00000224329" 0 2 1 0 0 0
"ENSG00000224330" 1 1 0 4 2 2
"ENSG00000224331" 1 0 1 4 1 0
"ENSG00000224333" 0 0 0 2 1 0
"ENSG00000224334" 0 1 0 1 2 0
"ENSG00000224341" 1 0 0 2 0 0
"ENSG00000224349" 1 0 0 2 0 1
"ENSG00000224356" 0 1 0 1 2 2
"ENSG00000224358" 18 36 31 24 33 33
"ENSG00000224363" 2 0 0 1 0 0
"ENSG00000224367" 1 1 0 3 3 1
"ENSG00000224376" 19 12 38 22 23 21
"ENSG00000224383" 0 2 1 1 0 0
"ENSG00000224396" 15 23 21 24 16 11
"ENSG00000224397" 37 50 45 68 50 46
"ENSG00000224401" 4 1 2 2 1 4
"ENSG00000224402" 8 10 6 10 9 11
"ENSG00000224403" 0 1 0 0 1 1
"ENSG00000224406" 0 1 1 0 0 0
"ENSG00000224407" 3 5 9 8 7 7
"ENSG00000224411" 107 101 51 111 96 85
"ENSG00000224412" 1 0 0 1 0 1
"ENSG00000224413" 0 0 2 1 0 1
"ENSG00000224414" 1 1 1 0 1 0
"ENSG00000224415" 16 3 13 8 10 7
"ENSG00000224418" 6 1 12 3 7 7
"ENSG00000224420" 14 21 25 20 16 23
"ENSG00000224424" 37 44 61 55 35 44
"ENSG00000224426" 1 0 2 0 1 1
"ENSG00000224427" 2 0 1 3 0 0
"ENSG00000224429" 3 5 1 2 3 0
"ENSG00000224431" 12 6 6 11 5 4
"ENSG00000224435" 1 0 0 4 1 2
"ENSG00000224437" 0 0 2 0 0 1
"ENSG00000224439" 0 1 1 1 0 1
"ENSG00000224442" 3 3 1 2 1 0
"ENSG00000224445" 0 0 1 1 0 0
"ENSG00000224448" 3 1 5 10 4 3
"ENSG00000224452" 1 1 0 0 1 2
"ENSG00000224459" 1 0 1 0 0 0
"ENSG00000224462" 19 21 25 35 24 27
"ENSG00000224468" 6 6 10 11 5 5
"ENSG00000224469" 3 4 4 3 2 2
"ENSG00000224470" 1100 1246 1466 1429 1225 1229
"ENSG00000224476" 0 0 1 0 1 0
"ENSG00000224477" 1 0 0 1 0 0
"ENSG00000224478" 0 5 0 1 1 1
"ENSG00000224479" 3 2 3 1 4 4
"ENSG00000224488" 1 0 0 1 0 0
"ENSG00000224490" 2 1 4 3 3 3
"ENSG00000224494" 2 1 3 2 1 1
"ENSG00000224497" 1 1 1 0 0 0
"ENSG00000224505" 7 8 8 7 2 3
"ENSG00000224511" 1 1 0 0 1 0
"ENSG00000224520" 1 3 1 2 0 2
"ENSG00000224525" 0 2 0 1 0 0
"ENSG00000224531" 1291 1416 1389 1630 1363 1300
"ENSG00000224533" 2 4 2 3 1 1
"ENSG00000224535" 6 8 6 1 6 5
"ENSG00000224536" 16 29 30 29 38 26
"ENSG00000224540" 1 0 0 1 1 0
"ENSG00000224543" 12 11 16 13 15 11
"ENSG00000224545" 1 1 0 0 0 0
"ENSG00000224546" 3 4 5 12 4 1
"ENSG00000224549" 7 2 1 9 1 0
"ENSG00000224550" 4 6 1 3 5 3
"ENSG00000224551" 0 0 0 1 1 0
"ENSG00000224553" 0 1 0 0 1 0
"ENSG00000224559" 4 6 1 0 1 0
"ENSG00000224563" 0 2 1 0 0 0
"ENSG00000224565" 0 0 0 2 0 2
"ENSG00000224566" 4 4 3 5 3 3
"ENSG00000224568" 7 17 14 15 15 10
"ENSG00000224569" 0 1 0 0 0 1
"ENSG00000224570" 0 0 0 1 2 0
"ENSG00000224577" 11 14 19 12 21 12
"ENSG00000224578" 31 29 17 37 47 42
"ENSG00000224579" 1 0 0 1 0 0
"ENSG00000224584" 0 1 0 0 1 1
"ENSG00000224589" 3 3 2 8 2 5
"ENSG00000224590" 1 0 0 1 1 0
"ENSG00000224592" 1 0 1 3 1 0
"ENSG00000224594" 0 0 1 0 1 0
"ENSG00000224596" 3 4 4 3 1 6
"ENSG00000224597" 368 466 529 479 375 391
"ENSG00000224598" 3 1 1 2 0 0
"ENSG00000224599" 2 0 2 4 1 3
"ENSG00000224600" 0 0 1 1 1 0
"ENSG00000224613" 0 0 3 2 2 2
"ENSG00000224614" 8 3 5 3 5 4
"ENSG00000224616" 6 5 4 13 6 1
"ENSG00000224621" 1 1 0 2 0 1
"ENSG00000224628" 1 0 2 0 2 4
"ENSG00000224629" 3 6 8 6 3 6
"ENSG00000224631" 16 5 5 4 11 7
"ENSG00000224635" 17 13 10 14 5 10
"ENSG00000224637" 0 1 1 1 1 1
"ENSG00000224638" 0 0 0 1 1 1
"ENSG00000224640" 7 7 4 12 3 6
"ENSG00000224645" 1 1 6 2 4 6
"ENSG00000224649" 2 0 2 0 0 0
"ENSG00000224652" 1 3 0 0 0 2
"ENSG00000224653" 0 1 0 1 0 0
"ENSG00000224660" 202 234 275 295 173 194
"ENSG00000224662" 1 0 1 0 0 1
"ENSG00000224667" 1 0 0 0 0 1
"ENSG00000224668" 9 13 4 13 6 6
"ENSG00000224669" 1 2 0 3 0 2
"ENSG00000224672" 0 0 0 0 2 0
"ENSG00000224675" 0 1 0 0 1 3
"ENSG00000224678" 5 5 5 9 4 4
"ENSG00000224680" 3 6 6 6 2 4
"ENSG00000224683" 0 0 1 0 0 1
"ENSG00000224687" 46 64 50 77 60 45
"ENSG00000224689" 3 0 6 1 2 1
"ENSG00000224691" 4 2 4 4 1 7
"ENSG00000224699" 108 88 83 113 84 90
"ENSG00000224701" 0 0 0 0 0 2
"ENSG00000224707" 1 0 0 0 0 1
"ENSG00000224713" 0 4 0 1 1 0
"ENSG00000224714" 0 1 2 1 0 0
"ENSG00000224715" 0 1 0 0 2 1
"ENSG00000224717" 2 1 0 0 1 0
"ENSG00000224722" 0 0 3 1 4 0
"ENSG00000224725" 0 0 0 2 0 0
"ENSG00000224727" 1 2 0 0 1 1
"ENSG00000224728" 38 35 58 61 48 34
"ENSG00000224729" 0 0 0 1 1 0
"ENSG00000224733" 0 0 0 3 0 0
"ENSG00000224738" 8 8 6 14 12 10
"ENSG00000224739" 4 2 5 2 4 4
"ENSG00000224745" 4 1 2 0 4 4
"ENSG00000224746" 3 4 1 3 3 1
"ENSG00000224751" 2 0 0 0 1 2
"ENSG00000224762" 1 0 0 2 0 0
"ENSG00000224763" 0 1 0 1 0 0
"ENSG00000224764" 1 1 0 1 2 0
"ENSG00000224773" 2 4 0 2 4 5
"ENSG00000224775" 0 0 3 1 1 2
"ENSG00000224776" 11 9 9 5 9 7
"ENSG00000224781" 6 5 6 7 5 3
"ENSG00000224785" 3 2 2 3 2 4
"ENSG00000224786" 24 43 41 52 32 28
"ENSG00000224790" 11 12 13 11 6 6
"ENSG00000224791" 2 3 2 0 0 4
"ENSG00000224794" 1 0 0 2 1 0
"ENSG00000224799" 1 0 0 0 1 0
"ENSG00000224800" 2 0 2 4 1 2
"ENSG00000224802" 0 2 0 0 0 0
"ENSG00000224805" 1 0 2 1 0 0
"ENSG00000224806" 0 0 1 0 1 2
"ENSG00000224807" 2 3 4 3 5 4
"ENSG00000224809" 26 25 32 35 19 15
"ENSG00000224810" 38 49 59 42 39 48
"ENSG00000224816" 2 4 16 7 3 6
"ENSG00000224817" 1 2 2 0 1 2
"ENSG00000224820" 0 1 2 0 0 0
"ENSG00000224822" 3 7 6 2 1 3
"ENSG00000224825" 0 2 0 2 0 1
"ENSG00000224826" 0 2 0 0 0 0
"ENSG00000224829" 0 0 0 0 1 1
"ENSG00000224831" 4 7 3 6 8 7
"ENSG00000224837" 1 0 1 0 1 1
"ENSG00000224839" 3 3 0 3 6 2
"ENSG00000224842" 0 1 2 0 0 0
"ENSG00000224843" 8 12 14 15 10 4
"ENSG00000224844" 0 1 1 3 1 2
"ENSG00000224846" 2 0 2 2 0 2
"ENSG00000224853" 4 9 4 13 9 6
"ENSG00000224854" 0 1 4 0 0 2
"ENSG00000224855" 8 7 10 5 7 8
"ENSG00000224856" 1 0 0 1 0 0
"ENSG00000224857" 0 1 0 1 0 3
"ENSG00000224858" 0 0 1 1 1 1
"ENSG00000224861" 7 7 10 9 3 7
"ENSG00000224863" 2 1 2 3 1 0
"ENSG00000224870" 400 465 495 524 453 465
"ENSG00000224875" 0 2 0 1 3 0
"ENSG00000224877" 396 493 516 526 460 422
"ENSG00000224881" 2 0 0 2 1 1
"ENSG00000224883" 0 1 0 1 0 1
"ENSG00000224884" 1 0 0 1 0 1
"ENSG00000224885" 4 1 4 1 5 1
"ENSG00000224887" 82 117 146 114 104 118
"ENSG00000224888" 8 5 7 12 6 6
"ENSG00000224891" 0 1 2 1 0 1
"ENSG00000224892" 5 7 3 2 7 1
"ENSG00000224893" 7 4 9 7 3 8
"ENSG00000224895" 1 1 2 1 0 0
"ENSG00000224897" 9 14 11 23 4 11
"ENSG00000224903" 1 1 2 0 1 0
"ENSG00000224905" 7 5 3 7 0 5
"ENSG00000224906" 4 1 2 1 1 0
"ENSG00000224914" 26 37 46 50 35 39
"ENSG00000224916" 0 0 0 2 0 0
"ENSG00000224933" 4 1 6 3 3 2
"ENSG00000224934" 31 36 41 52 35 23
"ENSG00000224936" 11 11 29 33 15 22
"ENSG00000224939" 0 0 1 1 2 2
"ENSG00000224940" 0 0 1 0 0 3
"ENSG00000224943" 2 2 0 2 2 0
"ENSG00000224944" 0 1 1 2 0 1
"ENSG00000224945" 1 2 3 4 2 2
"ENSG00000224950" 851 907 1010 1230 847 819
"ENSG00000224957" 4 7 6 8 3 3
"ENSG00000224959" 1 2 3 8 3 0
"ENSG00000224962" 0 0 1 1 0 0
"ENSG00000224963" 2 0 1 0 0 0
"ENSG00000224965" 1 1 1 3 7 2
"ENSG00000224967" 0 0 1 1 0 1
"ENSG00000224969" 0 1 1 1 3 1
"ENSG00000224973" 0 0 1 3 0 0
"ENSG00000224975" 11 10 23 11 7 13
"ENSG00000224976" 1 1 1 0 1 2
"ENSG00000224977" 1 0 1 4 1 0
"ENSG00000224980" 37 45 58 50 54 40
"ENSG00000224981" 0 3 4 0 1 1
"ENSG00000224982" 162 139 191 196 147 131
"ENSG00000224985" 2 2 2 1 0 1
"ENSG00000224986" 3 1 3 1 0 2
"ENSG00000224988" 0 0 0 1 1 1
"ENSG00000224992" 0 2 1 4 0 2
"ENSG00000224993" 2 1 1 2 0 0
"ENSG00000224995" 0 1 0 0 2 0
"ENSG00000224999" 4 5 10 6 4 1
"ENSG00000225005" 0 0 0 5 1 2
"ENSG00000225006" 2 1 2 2 1 1
"ENSG00000225008" 0 0 0 1 0 1
"ENSG00000225016" 8 1 2 7 6 4
"ENSG00000225018" 1 0 0 0 1 0
"ENSG00000225022" 32 38 17 42 37 33
"ENSG00000225028" 1 0 4 0 4 4
"ENSG00000225030" 0 5 3 3 0 0
"ENSG00000225031" 57 63 199 68 51 54
"ENSG00000225032" 19 10 16 27 14 21
"ENSG00000225037" 5 3 2 0 2 2
"ENSG00000225039" 0 2 1 1 1 0
"ENSG00000225044" 25 32 37 28 30 26
"ENSG00000225051" 4 1 2 4 0 0
"ENSG00000225053" 2 0 1 3 1 0
"ENSG00000225055" 1 1 0 0 0 0
"ENSG00000225062" 0 1 1 1 3 2
"ENSG00000225063" 0 2 0 0 0 1
"ENSG00000225075" 1 4 1 1 1 0
"ENSG00000225077" 6 11 13 10 9 12
"ENSG00000225080" 0 4 1 1 1 1
"ENSG00000225083" 0 0 2 0 1 2
"ENSG00000225085" 0 0 1 0 1 0
"ENSG00000225087" 1 0 1 0 1 1
"ENSG00000225091" 5 13 4 6 5 5
"ENSG00000225092" 0 1 2 0 1 1
"ENSG00000225093" 15 9 11 18 17 13
"ENSG00000225096" 60 79 91 67 45 72
"ENSG00000225099" 3 5 4 5 4 3
"ENSG00000225106" 31 31 42 35 33 36
"ENSG00000225111" 1 0 3 2 3 3
"ENSG00000225112" 1 0 1 0 0 0
"ENSG00000225121" 0 0 0 0 1 1
"ENSG00000225123" 2 0 0 1 0 0
"ENSG00000225125" 3 2 3 1 2 1
"ENSG00000225126" 0 0 0 3 0 3
"ENSG00000225131" 3 1 4 4 2 2
"ENSG00000225137" 10 4 19 8 12 5
"ENSG00000225138" 34 33 39 72 44 32
"ENSG00000225140" 31 38 43 36 36 28
"ENSG00000225142" 2 2 0 2 0 1
"ENSG00000225146" 0 0 2 0 2 3
"ENSG00000225148" 2 0 0 0 0 2
"ENSG00000225151" 220 312 381 368 269 274
"ENSG00000225155" 1 0 0 0 0 1
"ENSG00000225156" 1 5 3 3 2 2
"ENSG00000225159" 14 14 26 10 17 15
"ENSG00000225163" 4 4 2 1 5 4
"ENSG00000225169" 2 2 1 0 1 2
"ENSG00000225170" 2 2 3 1 1 1
"ENSG00000225171" 1 3 2 3 2 0
"ENSG00000225172" 1 0 3 0 5 1
"ENSG00000225173" 2 3 8 8 8 5
"ENSG00000225177" 86 102 102 140 101 107
"ENSG00000225178" 16 13 13 10 21 9
"ENSG00000225183" 1 0 0 1 1 1
"ENSG00000225185" 1 1 0 1 0 1
"ENSG00000225187" 2 2 7 6 1 3
"ENSG00000225190" 242 284 329 392 318 306
"ENSG00000225191" 0 3 0 0 0 1
"ENSG00000225192" 1 0 1 0 0 1
"ENSG00000225193" 1 1 1 0 4 0
"ENSG00000225194" 0 0 0 0 1 1
"ENSG00000225195" 1 0 0 3 0 2
"ENSG00000225198" 1 2 5 0 1 2
"ENSG00000225200" 2 2 3 1 0 1
"ENSG00000225205" 43 21 30 36 29 27
"ENSG00000225206" 5 4 6 17 10 3
"ENSG00000225210" 417 524 690 641 431 397
"ENSG00000225212" 1 1 0 0 1 0
"ENSG00000225213" 7 9 15 15 9 5
"ENSG00000225215" 1 0 0 1 0 0
"ENSG00000225216" 44 29 38 46 28 19
"ENSG00000225217" 11 15 10 30 27 11
"ENSG00000225218" 3 2 1 5 4 2
"ENSG00000225222" 0 1 0 1 0 0
"ENSG00000225224" 4 2 3 1 5 1
"ENSG00000225225" 0 0 0 2 2 1
"ENSG00000225230" 0 7 8 3 6 4
"ENSG00000225231" 0 1 2 1 1 0
"ENSG00000225234" 3 2 7 6 2 3
"ENSG00000225235" 0 0 1 1 0 1
"ENSG00000225240" 0 0 2 0 0 0
"ENSG00000225246" 1 2 2 0 0 1
"ENSG00000225251" 1 0 3 1 1 0
"ENSG00000225254" 2 0 0 0 0 1
"ENSG00000225255" 2 4 3 4 5 4
"ENSG00000225258" 0 0 0 0 1 1
"ENSG00000225259" 2 4 4 2 3 2
"ENSG00000225264" 37 51 90 53 46 43
"ENSG00000225265" 11 22 19 22 23 16
"ENSG00000225269" 1 4 4 7 2 5
"ENSG00000225271" 1 1 3 0 2 1
"ENSG00000225279" 3 2 0 2 1 1
"ENSG00000225282" 8 5 6 4 4 2
"ENSG00000225284" 0 0 0 2 1 0
"ENSG00000225289" 0 0 1 0 0 1
"ENSG00000225298" 0 1 3 0 0 0
"ENSG00000225300" 1 4 4 4 5 2
"ENSG00000225302" 41 36 46 46 43 44
"ENSG00000225313" 100 69 90 101 93 67
