"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000026036" 33 27 28 51 22 25
"ENSG00000026103" 26 15 18 25 29 22
"ENSG00000026297" 162 190 205 216 177 169
"ENSG00000026508" 9790 12106 14496 12141 9724 10140
"ENSG00000026559" 15 14 15 17 14 15
"ENSG00000026652" 72 63 77 87 74 49
"ENSG00000026751" 1088 1305 1432 1706 1332 1367
"ENSG00000026950" 382 440 505 544 360 395
"ENSG00000027001" 167 184 168 203 168 161
"ENSG00000027075" 142 170 198 206 145 162
"ENSG00000027697" 539 610 649 711 559 539
"ENSG00000027847" 390 494 528 540 463 409
"ENSG00000027869" 3 4 1 2 1 6
"ENSG00000028116" 271 372 432 353 274 296
"ENSG00000028137" 95 164 178 182 113 138
"ENSG00000028203" 898 958 1201 1146 887 868
"ENSG00000028277" 3 3 4 5 8 2
"ENSG00000028310" 314 369 405 388 311 334
"ENSG00000028528" 2364 2672 3149 3131 2387 2350
"ENSG00000028839" 367 537 550 521 405 418
"ENSG00000029153" 260 340 302 379 317 311
"ENSG00000029363" 2641 3028 3425 3186 2684 2632
"ENSG00000029364" 2200 2628 2885 3047 2514 2382
"ENSG00000029639" 454 483 534 558 420 455
"ENSG00000029725" 1001 1178 1437 1399 1063 1106
"ENSG00000029993" 477 696 824 646 586 606
"ENSG00000030066" 2922 3435 3513 3518 3018 2860
"ENSG00000030110" 265 336 310 374 323 296
"ENSG00000030304" 2 2 3 1 1 5
"ENSG00000030419" 1 4 0 4 2 0
"ENSG00000030582" 3057 3659 4548 4875 3614 3883
"ENSG00000031003" 1862 2190 2559 2477 2116 1970
"ENSG00000031081" 3566 3796 4595 5093 3594 3882
"ENSG00000031691" 328 378 400 400 322 309
"ENSG00000031698" 3104 3556 4164 3961 3038 3099
"ENSG00000031823" 765 1001 1334 981 899 899
"ENSG00000032219" 511 596 705 651 512 563
"ENSG00000032389" 467 562 574 608 478 513
"ENSG00000032444" 918 1151 1243 1393 1065 1156
"ENSG00000032742" 284 366 374 354 319 291
"ENSG00000033011" 276 305 391 368 278 299
"ENSG00000033030" 456 569 673 597 427 448
"ENSG00000033050" 2008 2526 2903 2557 2079 2193
"ENSG00000033100" 773 932 1024 1124 913 928
"ENSG00000033122" 41 28 55 53 39 40
"ENSG00000033170" 792 922 1040 984 863 842
"ENSG00000033178" 2661 2951 3152 3443 2758 2636
"ENSG00000033327" 2150 2460 3163 2946 2308 2482
"ENSG00000033627" 1013 1115 1322 1440 989 1090
"ENSG00000033800" 758 852 1168 979 742 784
"ENSG00000033867" 3116 3353 3576 3706 3049 2922
"ENSG00000034053" 0 1 1 1 0 4
"ENSG00000034152" 1990 2441 2403 2621 2093 2198
"ENSG00000034510" 4350 5670 6576 5891 4788 5116
"ENSG00000034533" 237 273 288 275 251 235
